edge_id,x1,y1,x2,y2,weight
a,0,11,1,11,1
b,1,11,2,11,2
c,2,11,4,11,3
d,4,11,5,11,3
e,5,11,7,11,2
f,7,11,8,11,1
g,8,11,10,11,2
h,0,11,1,10,1
i,1,11,1,10,5
j,1,11,2,9,1
k,2,11,2,9,3
l,0,10,0,8,2
m,0,10,1,10,5
n,0,8,1,8,1
o,1,10,1,9,1
p,1,9,1,8,2
q,1,9,2,8,3
r,1,8,1,7,1
s,1,7,3,7,2
t,1,7,3,6,5
u,2,8,3,8,2
v,2,9,3,8,4
w,2,11,3,9,2
x,3,10,4,10,3
z,3,10,3,9,1
aa,3,9,3,8,2
ab,3,8,3,7,5
ac,3,7,3,6,2
ad,4,11,4,10,1
ae,4,10,4,9,3
af,4,9,4,7,2
ag,3,8,4,7,5
ah,4,7,5,6,1
ai,3,6,5,6,2
aj,4,9,5,9,4
ak,5,11,5,10,2
al,5,10,5,10,3
am,5,9,5,8,1
an,5,8,5,6,3
ao,6,10,5,9,1
ap,7,11,6,10,2
aq,5,8,6,8,1
ar,6,8,6,7,4
as,6,7,5,6,5
at,7,9,6,8,2
au,8,11,8,10,5
av,10,11,8,10,1
aw,10,11,10,10,2
ax,7,11,7,10,1
ay,7,10,7,9,5
az,7,10,8,10,4
ba,8,10,8,9,2
bb,7,9,8,9,1
bc,7,9,7,8,3
bd,7,8,8,8,1
be,7,8,7,6,2
bf,8,8,9,9,2
bg,8,7,9,7,1
bh,8,7,7,6,3
bi,9,10,10,10,1
bj,9,10,9,9,2
bk,9,9,10,9,2
bl,10,9,9,7,3
bm,7,6,6,6,4
bn,6,6,5,5,3
bo,5,6,5,5,2
bp,5,5,5,4,4
bq,5,4,5,3,2
br,5,3,4,2,2
bs,5,3,5,1,5
bt,5,3,6,2,1
bu,6,2,7,2,2
bv,7,2,9,2,4
bw,7,2,7,1,3
bx,9,2,9,1,2
by,9,1,9,0,1
bz,9,1,7,1,3
ca,7,1,9,0,5
cb,9,0,6,0,2
cc,6,0,6,1,1
cd,6,1,7,1,2
ce,6,1,5,1,3
cf,5,1,4,0,2
cj,4,0,4,2,5
ck,3,2,4,2,3
cl,3,2,2,2,1
cm,2,2,2,0,4
cn,2,0,3,1,2
co,2,0,4,0,2
cp,3,2,3,1,4
