edge_id,x1,y1,x2,y2,weight
1,4,2,6,2,1
2,4,2,4,1,1
3,4,1,4,0,1
4,2,1,4,1,1
5,1,0,2,1,2
6,2,1,1,2,2
7,0,2,1,2,3
8,1,2,1,3,1
9,0,3,1,3,2
10,1,3,2,3,5
11,2,3,2,1,1
12,2,3,4,2,4
13,6,2,7,2,2
14,6,2,6,1,2
15,6,1,6,0,1
16,6,1,7,0,5
17,7,2,9,1,4
18,9,1,9,0,4
19,9,0,10,0,3
20,10,0,11,0,3
21,11,0,12,0,3
22,10,0,11,1,5
23,9,1,11,3,1
24,11,1,11,3,2
25,12,0,12,2,3
26,13,1,14,1,3
27,13,1,13,2,3
28,13,2,14,2,5
29,12,2,13,2,4
30,11,3,12,2,4
31,12,2,13,3,3
32,11,3,11,4,2
33,13,3,14,3,2
34,14,3,15,3,3
35,14,3,14,4,4
36,14,4,15,4,1
37,12,4,14,4,1
38,11,4,12,4,1
39,10,5,11,4,1
40,12,4,12,5,1
41,12,5,12,6,2
42,12,5,15,5,2
43,10,5,11,6,2
44,11,6,12,6,3
45,12,6,13,6,5
46,13,6,13,7,4
47,13,7,12,9,3
48,12,9,11,10,2
49,11,10,9,10,4
50,9,10,8,9,1
51,8,9,6,9,2
52,6,9,4,9,3
53,4,9,3,8,2
54,3,8,3,7,4
55,3,7,1,5,5
56,1,5,2,3,5
57,1,5,0,6,5
58,1,5,1,7,5
59,1,7,1,8,1
60,1,7,0,7,2
61,3,7,2,9,3
62,2,9,0,9,2
63,2,9,2,10,1
64,2,10,2,11,5
65,2,10,3,10,1
66,3,10,3,12,4
67,4,9,4,10,2
68,4,10,4,11,3
69,4,10,5,11,5
70,5,11,6,11,1
71,6,11,6,12,2
72,6,11,7,11,3
73,6,9,7,10,3
74,7,10,7,11,3
75,9,10,9,12,3
76,7,11,7,12,1
77,7,11,8,11,2
78,8,11,8,12,2
79,7,12,8,12,4
80,10,12,11,10,4
81,8,12,9,12,5
82,9,12,9,13,5
83,9,12,10,12,1
84,10,12,10,13,1
85,11,10,11,11,1
86,11,11,11,12,1
87,11,11,11,13,2
88,13,9,13,11,2
89,12,9,13,9,2
90,13,9,14,10,3
91,13,9,14,9,1
92,13,7,14,8,3
93,13,6,15,5,1
94,15,5,15,7,1
95,14,5,15,5,1
96,14,8,15,8,1
97,14,8,14,7,2
98,14,7,15,7,1
99,15,7,16,7,2
